sl_no,gender,ssc(percentage),ssc(State or Others),Inter(percentage),Inter_board,Inter_Group,Branch,Internships,CGPA,skill,status,Company,salary
1,M,67,Others,91,Others,MPC,CSE,No,55,DS,Placed,CTS,4
2,M,79.33,State,78.33,Others,MPC,CSE,Yes,86.5,DSA,Placed,Accenture,3
3,M,65,State,68,State,Diploma,ECE,No,75,DSA,Placed,TCS,5
4,M,56,State,52,State,MPC,CSE,No,66,DS,Not Placed,CTS,0
5,M,85.8,State,73.6,State,MPC,ECE,No,96.8,DSA,Placed,Wipro (Turbo),6
6,M,55,Others,49.8,Others,MPC,CSE,Yes,55,DSA,Not Placed,Accenture,0
7,F,46,Others,49.2,Others,MPC,ECE,No,74.28,DSA,Not Placed,Wipro,0
8,M,82,State,64,State,MPC,CSE,Yes,67,DSA,Placed,Accenture,6
9,M,73,State,79,State,MPC,ECE,No,91.34,DSA,Placed,Wipro,5
10,M,58,State,70,State,MPC,ECE,No,54,DSA,Not Placed,Square Yards,0
11,M,58,State,61,State,MPC,ECE,Yes,62,DS,Placed,Infosys,6
12,M,69.6,State,68.4,State,MPC,ECE,Yes,60,DSA,Placed,Wipro,5
13,F,47,State,55,Others,MPC,ECE,No,62,DS,Not Placed,Infosys,0
14,F,77,State,87,State,MPC,ECE,No,68,DSA,Placed,CTS,3
15,M,62,State,47,State,MPC,ECE,No,76,DS,Not Placed,Infosys,0
16,F,65,State,75,State,MPC,ECE,Yes,72,DSA,Placed,Accenture,3
17,M,63,State,66.2,State,MPC,ECE,Yes,60,DSA,Placed,Accenture (AASE),7
18,F,55,State,67,State,MPC,ECE,No,60,DSA,Not Placed,CTS,0
19,F,63,State,66,State,MPC,ECE,No,68,DS,Not Placed,Accenture,0
20,M,60,Others,67,Others,Diploma,ECE,Yes,50.48,DSA,Placed,Wipro,3
21,M,62,Others,65,Others,MPC,ECE,No,50,DS,Placed,Capgemini,4
22,F,79,Others,76,Others,MPC,ECE,No,95,DSA,Placed,Wipro,4
23,F,69.8,Others,60.8,Others,MPC,CSE,No,55.53,DS,Placed,CTS,8
24,F,77.4,Others,60,Others,MPC,CSE,Yes,92,DSA,Placed,Accenture,7
25,M,76.5,Others,97.7,Others,MPC,CSE,No,97.4,DSA,Placed,CTS,8
26,F,52.58,Others,54.6,State,MPC,ECE,Yes,76,DSA,Not Placed,CTS,0
